sfi_code;sfi_label
101;CONTRACT/SPECIFIC. WORK, GENERAL DESIGN, MODEL TESTING
102;DRAWING, ORDERING ETC. WITH REGARD TO HULL
103;DRAWING, ORDERING ETC. W.R.T. EQUIPMENT FOR CARGO
104;DRAWING, ORDERING ETC. W.R.T. SHIP EQUIPMENT
105;DRAWING, ORDERING W.R.T. EQUIPMENT FOR CREW & PASSENGERS
106;DRAWING, ORDERING W.R.T. MACH. COMP ONENTS, MACH/SHIP SYSTEMS
107;ESTIMATING, DRAWING & OFFERS W.R.T. CHANGE ORDERS
108;PURCHASE/RENTING OF DRAWINGS, PATENTS, LICENCES & CONSULTATI
109;MAINTENANCE SYSTEMS, INSTRUCTION MATERIAL
111;GENERAL INSURANCE
112;CLASSIFICATION & STATUTORY FEES & CERTIFICATES
113;BUILDING ADVANCE INTEREST, DISCOUNT, FINANCE COSTS
114;CANCELLATION EXPENSES
115;PENALTIES
116;BROKERS' COMMISSIONS
117;REPRESE NTATION, TRAVELS, CONFERENCES
118;LAUNCHING & DELIVERY REPRESENTATION
121;QUALITY ASSURANCE, PLANNING, WORK PREPARATION
122;WORK MANAGEMENT, FIRE GUARD, SUPERVISION, WATCH KEEPING
123;CLEARING & CLEANING
124;SNOW CL EARING, DE -ICING
125;TRANSPORTATION (EXCL. HULL PARTS)
126;ASSISTANCE WITH OWNER'S SUPPLY
127;MODELS, ALBUMS, PHOTOS
128;HEALTH, ENVIRONMENT, SAFETY
131;PROV. GANGWAYS, ROOFS, HATCHES, STAIRS, STAGES FOR HULL EXT.
132;PROV. ROOFS, HATCHES, STAGES F. DECK HOUSES & SUPERSTR. EXT.
133;PROV. HATCHES, LADDERS, STA GES IN CARGO HOLDS/TANKS
134;PROV. HATCHES, LADDERS, STAGES IN ENGINE ROOM & ACCOMMOD.
135;PROV. ELECTRIC POWER, LIGHTING, MACHINERY
136;PROV. STEAM, WATER, HEATING & VENTILATION PLANTS
137;PROV. GAS, OXYGEN & COMPRES SED AIR PLANTS
138;TARPAULIN RENTALS
139;PROV. LIFTING & TRANSPORT EQUIPMENT
141;KEEL BLOCKS, PILLARS, CUSHIONS
142;LAUNCHING ARR. W/CRADLE, SUPPORTS, WATER FILLING, PLATFORM
143;CR EW, PILOTS, TUGS, CLEARING AT LAUNCHING
144;DRY DOCKING, SLIP DOCKING
145;SHIFTING, TOWING (EXCL. LAUNCHING)
146;GAS FREEING, TANK CLEANING
147;BERTHING, ANCHORAGE
151;MACHINERY TESTING
152;CAPACITY, INCLINATION, VIBRATION MEASUREMENTS
153;FUEL & LUBE OIL FOR TESTS & TRIAL TRIPS
154;TRIAL TRIPS
155;SPECIAL TESTS/TRIALS
161;MENDING WORK AFTER TRIALS
162;GUARANTEE WORK
164;REPAIR OF DAMAGES CAUSED BY YARD
171;DISPOSAL OF WASTE, GARBAGE, OIL, CHEMICALS
172;CRANE ASSISTANCE  TO SHIP'S CREW
173;TRANSPORT OF YARD PERSONNEL
174;TOILET & WASH ROOM OUTLETS
175;SERVICES TO SHIP'S CREW (MEALS ETC.)
191;ELECTRODES
192;GAS, OXYGEN, COAL, OIL
193;TOOLS, JIGS
194;BINDING & MENDING MATERIAL, CLEANI NG ARTICLES
195;EQUIPMENT FOR OWNER'S REPRESENTATIVES
196;MISCELLANEOUS CONSUMPTION ARTICLES
201;HULL MATERIALS
202;TRANSPORTATION, SORTING & STORAGE OF HULL MATERIALS
203;BLASTING, SHOP -PRIMING, ROLLING & CLEANING OF MATE RIALS
204;TESTING OF TANKS, BULKHEADS
205;X -RAY & ULTRASONIC TESTING OF HULL PARTS
206;TEMPLATE & MOULD LOFT WORK
207;JOINING OF HULL PARTS AFLOAT
211;SHELL PANELS, SEPARATE SHELL PLATES
214;1. DECK W/STIFFENING
216;STERN SECTIONS, STERN TUBE BULKHEADS
218;STERN FRAME SECTIONS
220;GENERAL
221;SHELL PANELS, SEPARATE SHELL PLATES
222;BOTTOM, KEEL & BILGE PLATES W/STIFFENING
223;INNER BOTTOM W/STIFFENING, ENGINE FOUNDATIONS
224;1. DECK W/STIFFENING
226;DECKS, PLATFORMS, BULKHEADS, & HULL TANKS BELOW 1. DECK
230;GENERAL
231;SHELL P ANELS, SEPARATE SHELL PLATES
232;BOTTOM, KEEL & BILGE PLATES W/STIFFENING
233;INNER BOTTOM W/STIFFENING
234;1. DECK W/STIFFENING
235;DECKS BELOW 1. DECK W/STIFFENING
236;TRANSVERSE BULKHEADS W/STIFFENING
